0.435		13.6		32.1		0.294		101.6		94.4
0.438		17.9		28.3		0.111		87.9		103.3
0.557		13.3		29.7		0.241		117.4		109.4
0.555		22.7		22.6		0.274		100.6		97.6
0.446		7.9		31.5		0.215		107.4		106.4
0.553		7.4		42.9		0.095		131.1		112.7
0.543		11.9		22.2		0.198		115.9		98.0
0.620		13.1		20.5		0.076		116.0		97.8
0.388		14.3		29.6		0.112		83.8		111.3
0.423		11.9		11.3		0.238		89.8		99.6
0.494		10.8		35.9		0.202		116.6		102.3
0.489		10.6		29.2		0.196		112.2		96.6
0.414		7.7		33.3		0.192		106.6		89.7
0.494		21.0		35.7		0.174		100.2		90.2
0.601		7.1		16.3		0.181		125.5 		93.6
0.581		16.0		26.3		0.163		112.8 		92.6 
0.562		15.5		6.3		0.384		111.5 		100.4 
0.457		6.2		35.3		0.247		119.3 		118.2 
0.531		10.6		30.8		0.272		121.8 		99.2 
0.494		8.9		23.8		0.308		114.1 		87.0 
0.495		12.2		31.4		0.105		107.6		95.2
0.481		15.8		32.5		0.213		103.1		111.9
0.481		12.6		17.1		0.253		105.3		95.4 
0.500		15.5		17.1		0.372		102.6	 	101.7
0.534		11.5		27.5		0.115		113.2	 	92.4	
0.440		12.9		25.0		0.241		98.0 		85.3
0.488		14.8		35.0		0.395		114.2	 	111.1
0.394		12.6		27.5		0.235		93.2		109.2
0.480		14.2		34.1		0.184		105.1	 	96.6
0.467		9.8		28.3		0.185		106.3		121.8
0.529		11.2		27.3		0.368		121.6	 	115.8
0.500		10.8		33.3		0.267		116.9		115.9
0.720		11.9		20.7		0.159		140.5		103.0
0.468		18.7		31.7		0.177		96.2		86.4
0.424		9.4		23.5		0.209		97.7		109.6
0.489		7.4		34.0		0.053		115.9		126.6
0.438		12.2		20.5		0.313		99.9		81.0
0.449		13.3		21.4		0.192		96.5		119.2
0.506		10.0		26.2		0.238		116.0		110.2
0.561		6.5		18.4		0.415		130.1		88.8
0.461		4.8		21.7		0.180		108.5		101.9
0.434		7.9		26.3		0.181		100.4		107.4
0.577		8.9		21.6		0.321		127.5		116.5
0.490		10.5		35.6		0.092		113.1		114.2
0.647		9.6		12.5		0.240		132.0		118.3
0.479		8.3		39.2		0.258		121.4		98.8
0.475		9.7		22.5		0.272		108.8		100.1
0.507		15.4		21.6		0.219		102.5		101.4
0.521		15.0		11.9		0.233		100.4		102.6
0.500		7.0		37.2		0.179		121.3		118.9
0.490		10.1		35.3		0.173		116.0		129.3
0.536		9.9		30.0		0.107		115.5		95.6
0.471		8.4		27.3		0.218		110.6		97.5
0.500		16.3		24.3		0.247		104.1		87.8
0.482		16.2		25.0		0.259		99.6		90.0
0.427		9.7		25.5		0.195		96.1		97.2
0.526		16.3		17.1		0.250		101.9		100.8
0.519		16.7		20.0		0.192		104.2		109.6
0.478		9.3		37.2		0.132		114.1		103.7
0.506		16.2		27.9		0.190		100.5		94.1
0.575		11.8		26.3		0.253		126.0		102.2
0.545 	13.9		30.2		0.170		113.5		116.6
0.381		17.7		31.3		0.275		89.2		105.3
0.403		6.6		28.6		0.261		105.1		107.3
0.468		8.5		26.7		0.462		118.0		115.8
0.549		13.4		29.3		0.160		115.0		108.3
0.600		20.4		43.8		0.453		122.4		119.4
0.506		8.3		30.4		0.207		114.8		107.2
0.457		13.3		27.7		0.354		106.2		98.0
0.596		18.0		32.3		0.265		119.1		110.7
0.519		13.1		24.4		0.127		107.2		96.8
0.405		17.6		26.1		0.203		85.5		103.7
0.630		16.1		27.6		0.233		120.4		111.6
0.456		8.2		37.3		0.187		115.1		124.3
0.514		11.6		22.2		0.250		110.4		130.8
0.475		8.5		21.7		0.358		110.5		95.9
0.438		11.2		20.0		0.123		92.5		114.2
0.415		9.4		36.2		0.341		110.6		112.9
0.483		11.3		36.2		0.163		109.8		99.6
0.454		6.1		22.7		0.103		103.3		106.9
0.536		14.8		35.0		0.205		117.5		110.9
0.419		12.5		29.1		0.221		96.7		113.7
0.462		12.0		30.8		0.192		104.6		95.0
0.409		13.6		38.8		0.261		100.5		97.3
0.512		8.2		15.2		0.119		108.7		114.4
0.439		10.4		21.3		0.207		97.3		120.3
0.571		12.4		26.3		0.282		118.9		93.2
0.544		15.0		25.6		0.114		108.5		107.3
0.545		13.6		27.0		0.260		113.5		108.1
0.532		17.4		46.2		0.342		116.0		107.7
0.546		6.8		32.6		0.184		129.6		128.4
0.494		5.7		28.9		0.349		123.5		106.8
0.625		8.4		33.3		0.205		138.6		115.9
0.635		13.1		32.4		0.321		128.3		115.9
0.534		15.1		23.1		0.184		111.5		120.7
0.544		5.8		28.3		0.077		123.3		133.8
0.456		9.0		40.4		0.220		115.5		113.3
0.530		8.6		37.8		0.277		128.2		118.9
0.513		11.8		34.3		0.316		118.7		103.5
0.444		14.4		24.4		0.437		102.8		112.6
0.461		8.5		28.9		0.276		110.7		102.2
0.500		15.7		24.2		0.254		104.6		112.9
0.442		12.7		36.4		0.218		103.6		110.8
0.456		13.0		30.0		0.215		102.4		77.1
