0.494	13.8	26.3	0.309	118
0.5	9.2	7.7	0.324	116.7
0.472	18.1	20.5	0.408	119.9
0.439	13.4	18.6	0.159	103.4
0.536	9.4	41.2	0.289	113.9
0.52	12.1	19.5	0.263	119
0.506	17.5	26.7	0.16	98.7
0.468	19.5	44.7	0.152	121.6
0.549	11.5	35.1	0.268	101.8
0.547	16.6	27.6	0.297	117.3
0.506	9.4	27.7	0.226	98.4
0.487	9.4	20.5	0.179	98.5
0.459	14	20.5	0.452	102.4
0.513	22	30.6	0.195	109.7
0.622	14.3	25.7	0.176	98.6
0.655	11.7	22.6	0.211	105.3
0.63	12	19.2	0.299	99.8
0.465	14.2	28.6	0.2	90.8
0.512	13	26.7	0.151	116.6
0.576	13.2	25.7	0.165	114.6
0.36	12.1	30	0.174	114.1
0.536	5.4	27.1	0.357	115.5
0.565	15	21.6	0.195	103.1
0.537	11	17.1	0.259	111.6
0.585	12.4	29	0.352	105.8
0.443	21.4	21.1	0.3	100.3
0.558	18.1	22.2	0.312	103.3
0.444	12.9	18.2	0.225	105.2
0.389	19.8	27.3	0.194	91.6
0.565	18.8	17.6	0.275	82
0.495	10.6	31.8	0.174	108.2
0.411	12.6	34	0.133	94.3
0.528	23.2	27.3	0.282	108.7
0.42	12.1	29.2	0.161	102.9
0.623	12.5	15.6	0.198	96.1
0.428	12.1	29.5	0.217	101.4
0.582	4.3	20.5	0.241	108.1
0.63	9.3	9.1	0.273	98.3
0.443	12.8	23.8	0.342	100.4
0.615	18.3	15.8	0.205	94.4
0.568	17.7	17.9	0.247	115.7
0.487	10.6	16.2	0.354	100.6
0.625	15.5	30.3	0.361	91.4
0.565	9.9	35.1	0.345	119.6
0.651	19.5	29.6	0.381	106.5
0.514	13.5	26.3	0.375	102.4
0.519	13.5	34.2	0.278	103.3
0.471	7.5	34	0.264	135.9
0.525	10.8	27.5	0.383	105.9
0.53	10.3	33.3	0.253	109.7
0.453	15.7	20.9	0.173	104.1
0.532	18.3	27	0.253	97
0.564	21.6	18.8	0.271	93.7
0.472	12.3	26.9	0.18	90.8
0.422	14	33.3	0.277	96.8
0.506	10.5	42.2	0.165	126.1
0.53	13.2	36.6	0.183	108.7
0.438	10.7	28.3	0.25	110.3
0.766	15.3	17.9	0.195	112.3
0.449	10.5	32.6	0.27	114.1
0.53	9.9	40.4	0.337	118.6
0.489	5.5	24.5	0.172	89.6
0.614	9.1	35	0.361	113.4
0.6	14.2	45.5	0.238	118.7
0.417	14.5	28.6	0.202	102.1
0.578	10.7	19.4	0.286	128.3
0.555	10.1	21.6	0.256	94.9
0.566	11.5	27.3	0.209	101
0.386	12.5	34	0.364	110.3
0.578	11.9	29.7	0.221	97.7
0.561	17	23.5	0.365	102.5
0.54	11.6	33.3	0.218	92
0.488	13.3	26.7	0.256	122.2
0.629	22.1	19.2	0.303	174
0.569	15.4	16.7	0.15	103.2
0.575	13.4	34.1	0.322	97.9
0.471	12.9	19.1	0.141	110.5
0.585	12.7	34.8	0.319	128.2
0.513	22.8	30.8	0.19	114.6
0.6	10.8	20	0.225	110
0.512	17.6	34.1	0.188	94.1
0.419	17.3	22.2	0.238	106.5
0.593	10.1	11.1	0.32	136
0.574	16.9	18.8	0.529	111
0.512	6.8	23.8	0.241	101.8
0.565	13.6	30.8	0.39	109.9
0.494	13.6	29.5	0.226	123.5
0.565	16.4	22.2	0.493	105.6
