0.507	14.4	18.8	0.306	107.2	100.4
0.507	12.5	23.8	0.197	107.8	69.1
0.662	15.9	33.3	0.27	131.7	100.4
0.579	15.4	12.5	0.118	104.7	93.9
0.667	17.9	23.3	0.125	118.2	83.3
0.476	9	19	0.157	102.1	99.9
0.54	11.2	27.3	0.103	109.9	117.4
0.457	12.8	8.8	0.333	95.3	84.2
0.578	15	35.3	0.208	121.6	99.6
0.5	15.6	16.2	0.178	98.2	110.7
0.494	12.8	33.3	0.28	113.7	123.6
0.575	16.4	27	0.213	111.5	97.1
0.356	11.2	28.6	0.184	86.4	91.9
0.471	13	23.9	0.318	104.6	102.7
0.532	11.2	28.9	0.385	122.1	118.9
0.669	16.1	22.2	0.169	125.2	111.2
0.558	15	18.2	0.217	105	97
0.621	17.8	28.6	0.394	124.5	103.8
0.487	12.2	5.4	0.179	96.7	89.2
0.63	16.7	27.3	0.261	120.7	100
0.567	15.7	14.3	0.328	108.4	98.5
0.52	13.3	27.8	0.347	109.8	107.7
0.477	8.2	20.4	0.25	109.5	82.7
0.588	11.9	30.6	0.2	125.2	119.5
0.481	15.6	36.4	0.25	105.7	106.8
0.574	14.2	28.6	0.358	125	106.5
0.418	9.4	25	0.468	111.9	102.1
0.452	19	22.7	0.274	91	81.5
0.476	10.9	29.3	0.133	103.2	105.5
0.531	21.9	25.6	0.175	96.9	100.8
0.458	12.7	30.2	0.265	105	124.2
0.557	14.3	25.8	0.357	115.6	107.8
0.59	22	15.6	0.493	110.6	104.7
0.467	14.2	23.7	0.184	98.5	107.8
0.576	11.3	34.1	0.291	123.8	116.2
0.631	18	12.5	0.215	111.9	118.8
0.568	12.9	34.1	0.235	120.4	94.3
0.479	15.3	20.5	0.211	93.1	107.7
0.532	12.5	13.9	0.104	101.5	111.6
0.447	13.7	30.2	0.188	98.9	92.5
0.526	15.7	16.7	0.205	104.3	101.2
0.5	13.9	11.9	0.319	99.9	93.6
0.554	14.6	16.7	0.162	106.9	109.2
0.439	15.5	17.9	0.351	96.9	106.5
0.507	18.1	26.3	0.205	101	102.5
0.573	17.1	13.3	0.452	111.1	98.8
0.526	15.4	37.5	0.355	118.4	112.9
0.535	12.6	21.9	0.264	112.6	102
0.452	10.7	27.3	0.169	102.1	110.1
0.479	20.8	11.6	0.222	86.4	94.5
0.431	12.2	17.8	0.325	99.4	96.3
0.47	10	17.4	0.095	97.2	96.1
0.575	14.4	16.7	0.164	108.5	85.9
0.541	12	21.6	0.153	108.6	117.9
0.589	11.9	16.7	0.215	116.4	112.2
0.444	10.8	22.9	0.198	97.8	120
0.518	16.8	35.9	0.107	105.4	114.2
0.52	11.8	25	0.342	116.4	110.8
0.606	13.5	11.4	0.254	116.9	89.9
0.536	17.4	28.1	0.319	109.3	97.9
0.445	15.9	21.1	0.288	96.9	93.5
0.478	16.2	11.1	0.279	98.8	101.1
0.475	9	13.3	0.188	98.9	120.7
0.636	13.5	3.2	0.312	120	101.3
0.438	10.6	24.4	0.288	103.2	115.4
0.669	11.3	29.6	0.27	134.9	105.4
0.548	16.4	34.3	0.217	115.3	102.6
0.519	11.1	25	0.123	108	99.9
0.553	16.7	22.2	0.253	110.1	100.4
0.486	16.9	25.6	0.338	102.5	116.2
0.511	9.8	37.8	0.233	121.5	106.4
0.417	7.3	23.6	0.211	100	91.5
0.372	10.7	20.9	0.243	86	110.7
0.615	14.7	21.9	0.176	118	123.7
0.542	12.4	29.7	0.289	116.4	121.5
0.538	9.4	14.6	0.388	119.1	115
0.596	17.9	14.7	0.192	108.2	111.4
0.613	14.1	29	0.394	128.7	116.3
0.472	11.7	26.4	0.122	99.8	110.2
0.493	9.1	30.8	0.413	123.6	105.9
0.469	9	17.4	0.225	103.9	112.8
0.526	8.6	18.9	0.197	113.2	126.3
0.45	14.5	15.2	0.314	95.8	85.7
0.56	13	27	0.293	120.2	87.3
0.519	13.6	30.6	0.228	112.3	110
0.551	16.5	10.5	0.232	100.7	110.6
0.424	16.9	26.2	0.241	95	106.1
0.469	15.1	28.6	0.21	103.2	112.1
0.571	17.3	21.2	0.192	110.4	91.3
0.451	6.9	29.2	0.256	110.2	143.8
0.454	11.4	23.1	0.368	102.1	91.5
0.6	9.5	27.3	0.3	130.4	95.6
0.474	12.4	12.2	0.273	97.4	88.1
0.486	14.9	18.9	0.27	101.8	97.3
0.493	14	25.7	0.297	107.6	104.2
0.507	8.6	17.5	0.274	110.1	83.2
0.454	14.4	23.8	0.303	97.9	102.2
0.479	10.5	10.8	0.319	105.6	129.7
0.493	13	29.7	0.293	112.5	98.4
0.44	13.6	21.1	0.448	103.5	118.7
0.494	12	31	0.238	112.6	102.8
0.466	10.7	20	0.219	102.2	110.7
0.464	11.4	38.1	0.229	112.9	104.6
0.585	17.3	28	0.127	110.8	103.6
0.363	13.7	21.6	0.071	77.1	102.4
